Date,Station,Duty Window Number,Rank,Fleet,Season,IrOps,Month,Month Number,Weekday,Weekday Number,Duty Window,Pairing Start Count,Multi-Day Pairing Count,INT Pairing Count,Standby Activation Count,Multi-Day Pairing Ratio,INT Pairing Ratio,Activation Rate
04-05-2025,DEL,4,FO,Airbus,0,0,May,5,Sunday,6,Dec-16,41,6,3,21,0.1463,0.0732,0.5122
04-05-2025,DEL,5,CP,Airbus,0,0,May,5,Sunday,6,16-20,44,9,5,5,0.2045,0.1136,0.1136
04-05-2025,DEL,5,FO,Airbus,0,0,May,5,Sunday,6,16-20,43,11,4,9,0.2558,0.093,0.2093
04-05-2025,DEL,6,CP,Airbus,0,0,May,5,Sunday,6,20-24,24,13,6,8,0.5417,0.25,0.3333
04-05-2025,DEL,6,FO,Airbus,0,0,May,5,Sunday,6,20-24,19,10,6,3,0.5263,0.3158,0.1579
05-05-2025,DEL,1,CP,Airbus,0,0,May,5,Monday,0,0-4,6,1,0,1,0.1667,0,0.1667
05-05-2025,DEL,1,FO,Airbus,0,0,May,5,Monday,0,0-4,4,0,0,2,0,0,0.5
05-05-2025,DEL,2,CP,Airbus,0,0,May,5,Monday,0,04-Aug,50,13,4,7,0.26,0.08,0.14
05-05-2025,DEL,2,FO,Airbus,0,0,May,5,Monday,0,04-Aug,47,12,4,7,0.2553,0.0851,0.1489
05-05-2025,DEL,3,CP,Airbus,0,0,May,5,Monday,0,08-Dec,43,11,4,4,0.2558,0.093,0.093
05-05-2025,DEL,3,FO,Airbus,0,0,May,5,Monday,0,08-Dec,42,4,4,4,0.0952,0.0952,0.0952
05-05-2025,DEL,4,CP,Airbus,0,0,May,5,Monday,0,Dec-16,40,8,3,4,0.2,0.075,0.1
05-05-2025,DEL,4,FO,Airbus,0,0,May,5,Monday,0,Dec-16,40,6,2,9,0.15,0.05,0.225
05-05-2025,DEL,5,CP,Airbus,0,0,May,5,Monday,0,16-20,51,11,4,1,0.2157,0.0784,0.0196
05-05-2025,DEL,5,FO,Airbus,0,0,May,5,Monday,0,16-20,46,8,4,6,0.1739,0.087,0.1304
05-05-2025,DEL,6,CP,Airbus,0,0,May,5,Monday,0,20-24,24,12,7,4,0.5,0.2917,0.1667
05-05-2025,DEL,6,FO,Airbus,0,0,May,5,Monday,0,20-24,18,7,6,4,0.3889,0.3333,0.2222
06-05-2025,DEL,1,CP,Airbus,0,0,May,5,Tuesday,1,0-4,7,1,0,0,0.1429,0,0
06-05-2025,DEL,1,FO,Airbus,0,0,May,5,Tuesday,1,0-4,5,1,0,2,0.2,0,0.4
06-05-2025,DEL,2,CP,Airbus,0,0,May,5,Tuesday,1,04-Aug,52,18,3,5,0.3462,0.0577,0.0962
06-05-2025,DEL,2,FO,Airbus,0,0,May,5,Tuesday,1,04-Aug,53,11,3,12,0.2075,0.0566,0.2264
06-05-2025,DEL,3,CP,Airbus,0,0,May,5,Tuesday,1,08-Dec,49,11,5,7,0.2245,0.102,0.1429
06-05-2025,DEL,3,FO,Airbus,0,0,May,5,Tuesday,1,08-Dec,42,7,5,5,0.1667,0.119,0.119
06-05-2025,DEL,4,CP,Airbus,0,0,May,5,Tuesday,1,Dec-16,41,6,2,5,0.1463,0.0488,0.122
06-05-2025,DEL,4,FO,Airbus,0,0,May,5,Tuesday,1,Dec-16,38,4,2,5,0.1053,0.0526,0.1316
06-05-2025,DEL,5,CP,Airbus,0,0,May,5,Tuesday,1,16-20,52,12,6,3,0.2308,0.1154,0.0577
06-05-2025,DEL,5,FO,Airbus,0,0,May,5,Tuesday,1,16-20,57,10,4,9,0.1754,0.0702,0.1579
06-05-2025,DEL,6,CP,Airbus,0,0,May,5,Tuesday,1,20-24,26,12,5,4,0.4615,0.1923,0.1538
06-05-2025,DEL,6,FO,Airbus,0,0,May,5,Tuesday,1,20-24,22,5,5,2,0.2273,0.2273,0.0909
07-05-2025,DEL,1,CP,Airbus,0,0,May,5,Wednesday,2,0-4,9,1,0,3,0.1111,0,0.3333
07-05-2025,DEL,1,FO,Airbus,0,0,May,5,Wednesday,2,0-4,5,1,0,2,0.2,0,0.4
07-05-2025,DEL,2,CP,Airbus,0,0,May,5,Wednesday,2,04-Aug,51,19,6,7,0.3725,0.1176,0.1373
07-05-2025,DEL,2,FO,Airbus,0,0,May,5,Wednesday,2,04-Aug,45,13,4,5,0.2889,0.0889,0.1111
07-05-2025,DEL,3,CP,Airbus,0,0,May,5,Wednesday,2,08-Dec,40,14,4,9,0.35,0.1,0.225
07-05-2025,DEL,3,FO,Airbus,0,0,May,5,Wednesday,2,08-Dec,38,5,4,6,0.1316,0.1053,0.1579
07-05-2025,DEL,4,CP,Airbus,0,0,May,5,Wednesday,2,Dec-16,38,8,2,2,0.2105,0.0526,0.0526
07-05-2025,DEL,4,FO,Airbus,0,0,May,5,Wednesday,2,Dec-16,36,3,2,7,0.0833,0.0556,0.1944
07-05-2025,DEL,5,CP,Airbus,0,0,May,5,Wednesday,2,16-20,49,10,4,6,0.2041,0.0816,0.1224
07-05-2025,DEL,5,FO,Airbus,0,0,May,5,Wednesday,2,16-20,44,6,4,13,0.1364,0.0909,0.2955
07-05-2025,DEL,6,CP,Airbus,0,0,May,5,Wednesday,2,20-24,22,11,8,3,0.5,0.3636,0.1364
07-05-2025,DEL,6,FO,Airbus,0,0,May,5,Wednesday,2,20-24,21,6,7,3,0.2857,0.3333,0.1429
08-05-2025,DEL,1,CP,Airbus,0,0,May,5,Thursday,3,0-4,3,0,0,1,0,0,0.3333
08-05-2025,DEL,1,FO,Airbus,0,0,May,5,Thursday,3,0-4,4,0,0,0,0,0,0
08-05-2025,DEL,2,CP,Airbus,0,0,May,5,Thursday,3,04-Aug,45,11,3,6,0.2444,0.0667,0.1333
08-05-2025,DEL,2,FO,Airbus,0,0,May,5,Thursday,3,04-Aug,42,10,3,9,0.2381,0.0714,0.2143
08-05-2025,DEL,3,CP,Airbus,0,0,May,5,Thursday,3,08-Dec,37,13,4,7,0.3514,0.1081,0.1892
08-05-2025,DEL,3,FO,Airbus,0,0,May,5,Thursday,3,08-Dec,32,6,3,6,0.1875,0.0938,0.1875
08-05-2025,DEL,4,CP,Airbus,0,0,May,5,Thursday,3,Dec-16,44,6,2,5,0.1364,0.0455,0.1136
08-05-2025,DEL,4,FO,Airbus,0,0,May,5,Thursday,3,Dec-16,32,5,2,13,0.1562,0.0625,0.4062
08-05-2025,DEL,5,CP,Airbus,0,0,May,5,Thursday,3,16-20,55,12,4,0,0.2182,0.0727,0
08-05-2025,DEL,5,FO,Airbus,0,0,May,5,Thursday,3,16-20,49,12,4,3,0.2449,0.0816,0.0612
08-05-2025,DEL,6,CP,Airbus,0,0,May,5,Thursday,3,20-24,29,16,8,2,0.5517,0.2759,0.069
08-05-2025,DEL,6,FO,Airbus,0,0,May,5,Thursday,3,20-24,22,11,8,2,0.5,0.3636,0.0909
09-05-2025,DEL,1,CP,Airbus,0,0,May,5,Friday,4,0-4,4,0,0,0,0,0,0
09-05-2025,DEL,1,FO,Airbus,0,0,May,5,Friday,4,0-4,6,0,0,1,0,0,0.1667
09-05-2025,DEL,2,CP,Airbus,0,0,May,5,Friday,4,04-Aug,49,17,3,7,0.3469,0.0612,0.1429
09-05-2025,DEL,2,FO,Airbus,0,0,May,5,Friday,4,04-Aug,50,13,3,4,0.26,0.06,0.08
09-05-2025,DEL,3,CP,Airbus,0,0,May,5,Friday,4,08-Dec,32,9,4,9,0.2812,0.125,0.2812
09-05-2025,DEL,3,FO,Airbus,0,0,May,5,Friday,4,08-Dec,34,6,4,4,0.1765,0.1176,0.1176
09-05-2025,DEL,4,CP,Airbus,0,0,May,5,Friday,4,Dec-16,37,7,2,4,0.1892,0.0541,0.1081
09-05-2025,DEL,4,FO,Airbus,0,0,May,5,Friday,4,Dec-16,37,2,2,7,0.0541,0.0541,0.1892
09-05-2025,DEL,5,CP,Airbus,0,0,May,5,Friday,4,16-20,49,13,4,5,0.2653,0.0816,0.102
09-05-2025,DEL,5,FO,Airbus,0,0,May,5,Friday,4,16-20,44,9,4,7,0.2045,0.0909,0.1591
09-05-2025,DEL,6,CP,Airbus,0,0,May,5,Friday,4,20-24,21,11,6,1,0.5238,0.2857,0.0476
09-05-2025,DEL,6,FO,Airbus,0,0,May,5,Friday,4,20-24,16,8,6,4,0.5,0.375,0.25
10-05-2025,DEL,1,CP,Airbus,0,0,May,5,Saturday,5,0-4,7,1,0,0,0.1429,0,0
10-05-2025,DEL,1,FO,Airbus,0,0,May,5,Saturday,5,0-4,6,1,0,2,0.1667,0,0.3333
10-05-2025,DEL,2,CP,Airbus,0,0,May,5,Saturday,5,04-Aug,46,12,3,4,0.2609,0.0652,0.087
10-05-2025,DEL,2,FO,Airbus,0,0,May,5,Saturday,5,04-Aug,47,12,4,3,0.2553,0.0851,0.0638
10-05-2025,DEL,3,CP,Airbus,0,0,May,5,Saturday,5,08-Dec,33,10,4,4,0.303,0.1212,0.1212
10-05-2025,DEL,3,FO,Airbus,0,0,May,5,Saturday,5,08-Dec,31,6,4,2,0.1935,0.129,0.0645
10-05-2025,DEL,4,CP,Airbus,0,0,May,5,Saturday,5,Dec-16,38,7,3,8,0.1842,0.0789,0.2105
10-05-2025,DEL,4,FO,Airbus,0,0,May,5,Saturday,5,Dec-16,30,1,3,3,0.0333,0.1,0.1
10-05-2025,DEL,5,CP,Airbus,0,0,May,5,Saturday,5,16-20,52,13,4,7,0.25,0.0769,0.1346
10-05-2025,DEL,5,FO,Airbus,0,0,May,5,Saturday,5,16-20,40,9,6,10,0.225,0.15,0.25
10-05-2025,DEL,6,CP,Airbus,0,0,May,5,Saturday,5,20-24,22,12,6,4,0.5455,0.2727,0.1818
10-05-2025,DEL,6,FO,Airbus,0,0,May,5,Saturday,5,20-24,17,5,6,4,0.2941,0.3529,0.2353
11-05-2025,DEL,1,CP,Airbus,0,0,May,5,Sunday,6,0-4,4,1,0,0,0.25,0,0
11-05-2025,DEL,1,FO,Airbus,0,0,May,5,Sunday,6,0-4,4,0,0,0,0,0,0
11-05-2025,DEL,2,CP,Airbus,0,0,May,5,Sunday,6,04-Aug,53,19,3,5,0.3585,0.0566,0.0943
11-05-2025,DEL,2,FO,Airbus,0,0,May,5,Sunday,6,04-Aug,41,12,4,5,0.2927,0.0976,0.122
11-05-2025,DEL,3,CP,Airbus,0,0,May,5,Sunday,6,08-Dec,34,12,4,7,0.3529,0.1176,0.2059
11-05-2025,DEL,3,FO,Airbus,0,0,May,5,Sunday,6,08-Dec,34,6,4,4,0.1765,0.1176,0.1176
11-05-2025,DEL,4,CP,Airbus,0,0,May,5,Sunday,6,Dec-16,41,10,3,7,0.2439,0.0732,0.1707
11-05-2025,DEL,4,FO,Airbus,0,0,May,5,Sunday,6,Dec-16,35,5,2,2,0.1429,0.0571,0.0571
11-05-2025,DEL,5,CP,Airbus,0,0,May,5,Sunday,6,16-20,44,11,5,8,0.25,0.1136,0.1818
11-05-2025,DEL,5,FO,Airbus,0,0,May,5,Sunday,6,16-20,40,6,4,9,0.15,0.1,0.225
11-05-2025,DEL,6,CP,Airbus,0,0,May,5,Sunday,6,20-24,21,11,6,2,0.5238,0.2857,0.0952
11-05-2025,DEL,6,FO,Airbus,0,0,May,5,Sunday,6,20-24,20,11,6,6,0.55,0.3,0.3
12-05-2025,DEL,1,CP,Airbus,0,0,May,5,Monday,0,0-4,5,1,0,2,0.2,0,0.4
12-05-2025,DEL,1,FO,Airbus,0,0,May,5,Monday,0,0-4,6,1,0,1,0.1667,0,0.1667
12-05-2025,DEL,2,CP,Airbus,0,0,May,5,Monday,0,04-Aug,50,13,5,11,0.26,0.1,0.22
12-05-2025,DEL,2,FO,Airbus,0,0,May,5,Monday,0,04-Aug,40,13,4,10,0.325,0.1,0.25
12-05-2025,DEL,3,CP,Airbus,0,0,May,5,Monday,0,08-Dec,33,11,4,9,0.3333,0.1212,0.2727
12-05-2025,DEL,3,FO,Airbus,0,0,May,5,Monday,0,08-Dec,28,4,4,2,0.1429,0.1429,0.0714
12-05-2025,DEL,4,CP,Airbus,0,0,May,5,Monday,0,Dec-16,35,9,3,4,0.2571,0.0857,0.1143
12-05-2025,DEL,4,FO,Airbus,0,0,May,5,Monday,0,Dec-16,30,3,2,6,0.1,0.0667,0.2
12-05-2025,DEL,5,CP,Airbus,0,0,May,5,Monday,0,16-20,46,12,4,5,0.2609,0.087,0.1087
12-05-2025,DEL,5,FO,Airbus,0,0,May,5,Monday,0,16-20,41,9,4,15,0.2195,0.0976,0.3659
12-05-2025,DEL,6,CP,Airbus,0,0,May,5,Monday,0,20-24,22,11,6,3,0.5,0.2727,0.1364
12-05-2025,DEL,6,FO,Airbus,0,0,May,5,Monday,0,20-24,18,6,6,4,0.3333,0.3333,0.2222
13-05-2025,DEL,1,CP,Airbus,0,0,May,5,Tuesday,1,0-4,5,1,0,0,0.2,0,0
13-05-2025,DEL,1,FO,Airbus,0,0,May,5,Tuesday,1,0-4,4,1,0,1,0.25,0,0.25
13-05-2025,DEL,2,CP,Airbus,0,0,May,5,Tuesday,1,04-Aug,51,17,4,9,0.3333,0.0784,0.1765
13-05-2025,DEL,2,FO,Airbus,0,0,May,5,Tuesday,1,04-Aug,39,8,3,7,0.2051,0.0769,0.1795
13-05-2025,DEL,3,CP,Airbus,0,0,May,5,Tuesday,1,08-Dec,35,13,6,4,0.3714,0.1714,0.1143
13-05-2025,DEL,3,FO,Airbus,0,0,May,5,Tuesday,1,08-Dec,32,3,4,3,0.0938,0.125,0.0938
13-05-2025,DEL,4,CP,Airbus,0,0,May,5,Tuesday,1,Dec-16,31,3,2,2,0.0968,0.0645,0.0645
13-05-2025,DEL,4,FO,Airbus,0,0,May,5,Tuesday,1,Dec-16,37,6,2,8,0.1622,0.0541,0.2162
13-05-2025,DEL,5,CP,Airbus,0,0,May,5,Tuesday,1,16-20,47,11,5,6,0.234,0.1064,0.1277
13-05-2025,DEL,5,FO,Airbus,0,0,May,5,Tuesday,1,16-20,44,7,6,10,0.1591,0.1364,0.2273
13-05-2025,DEL,6,CP,Airbus,0,0,May,5,Tuesday,1,20-24,23,14,5,3,0.6087,0.2174,0.1304
13-05-2025,DEL,6,FO,Airbus,0,0,May,5,Tuesday,1,20-24,19,6,5,1,0.3158,0.2632,0.0526
14-05-2025,DEL,1,CP,Airbus,0,0,May,5,Wednesday,2,0-4,6,2,0,1,0.3333,0,0.1667
14-05-2025,DEL,1,FO,Airbus,0,0,May,5,Wednesday,2,0-4,10,1,0,3,0.1,0,0.3
14-05-2025,DEL,2,CP,Airbus,0,0,May,5,Wednesday,2,04-Aug,48,14,4,6,0.2917,0.0833,0.125
14-05-2025,DEL,2,FO,Airbus,0,0,May,5,Wednesday,2,04-Aug,47,12,3,4,0.2553,0.0638,0.0851
14-05-2025,DEL,3,CP,Airbus,0,0,May,5,Wednesday,2,08-Dec,44,8,6,8,0.1818,0.1364,0.1818
14-05-2025,DEL,3,FO,Airbus,0,0,May,5,Wednesday,2,08-Dec,31,3,4,6,0.0968,0.129,0.1935
14-05-2025,DEL,4,CP,Airbus,0,0,May,5,Wednesday,2,Dec-16,54,11,5,17,0.2037,0.0926,0.3148
14-05-2025,DEL,4,FO,Airbus,0,0,May,5,Wednesday,2,Dec-16,40,3,4,15,0.075,0.1,0.375
14-05-2025,DEL,5,CP,Airbus,0,0,May,5,Wednesday,2,16-20,49,13,4,7,0.2653,0.0816,0.1429
14-05-2025,DEL,5,FO,Airbus,0,0,May,5,Wednesday,2,16-20,33,6,3,9,0.1818,0.0909,0.2727
14-05-2025,DEL,6,CP,Airbus,0,0,May,5,Wednesday,2,20-24,26,11,6,3,0.4231,0.2308,0.1154
14-05-2025,DEL,6,FO,Airbus,0,0,May,5,Wednesday,2,20-24,15,4,5,0,0.2667,0.3333,0
15-05-2025,DEL,1,CP,Airbus,0,0,May,5,Thursday,3,0-4,5,1,0,0,0.2,0,0
15-05-2025,DEL,1,FO,Airbus,0,0,May,5,Thursday,3,0-4,4,1,0,0,0.25,0,0
15-05-2025,DEL,2,CP,Airbus,0,0,May,5,Thursday,3,04-Aug,54,15,3,10,0.2778,0.0556,0.1852
15-05-2025,DEL,2,FO,Airbus,0,0,May,5,Thursday,3,04-Aug,55,12,3,6,0.2182,0.0545,0.1091
15-05-2025,DEL,3,CP,Airbus,0,0,May,5,Thursday,3,08-Dec,38,10,4,7,0.2632,0.1053,0.1842
15-05-2025,DEL,3,FO,Airbus,0,0,May,5,Thursday,3,08-Dec,39,5,4,3,0.1282,0.1026,0.0769
15-05-2025,DEL,4,CP,Airbus,0,0,May,5,Thursday,3,Dec-16,44,8,2,8,0.1818,0.0455,0.1818
15-05-2025,DEL,4,FO,Airbus,0,0,May,5,Thursday,3,Dec-16,43,4,2,10,0.093,0.0465,0.2326
15-05-2025,DEL,5,CP,Airbus,0,0,May,5,Thursday,3,16-20,51,13,4,6,0.2549,0.0784,0.1176
15-05-2025,DEL,5,FO,Airbus,0,0,May,5,Thursday,3,16-20,36,8,4,9,0.2222,0.1111,0.25
15-05-2025,DEL,6,CP,Airbus,0,0,May,5,Thursday,3,20-24,29,11,8,1,0.3793,0.2759,0.0345
15-05-2025,DEL,6,FO,Airbus,0,0,May,5,Thursday,3,20-24,20,8,8,3,0.4,0.4,0.15
16-05-2025,DEL,1,CP,Airbus,0,0,May,5,Friday,4,0-4,7,2,0,0,0.2857,0,0
16-05-2025,DEL,1,FO,Airbus,0,0,May,5,Friday,4,0-4,5,0,0,1,0,0,0.2
16-05-2025,DEL,2,CP,Airbus,0,0,May,5,Friday,4,04-Aug,52,17,3,9,0.3269,0.0577,0.1731
16-05-2025,DEL,2,FO,Airbus,0,0,May,5,Friday,4,04-Aug,48,17,4,8,0.3542,0.0833,0.1667
16-05-2025,DEL,3,CP,Airbus,0,0,May,5,Friday,4,08-Dec,42,10,4,7,0.2381,0.0952,0.1667
16-05-2025,DEL,3,FO,Airbus,0,0,May,5,Friday,4,08-Dec,42,6,5,7,0.1429,0.119,0.1667
16-05-2025,DEL,4,CP,Airbus,0,0,May,5,Friday,4,Dec-16,49,8,3,9,0.1633,0.0612,0.1837
16-05-2025,DEL,4,FO,Airbus,0,0,May,5,Friday,4,Dec-16,41,2,3,9,0.0488,0.0732,0.2195
16-05-2025,DEL,5,CP,Airbus,0,0,May,5,Friday,4,16-20,50,12,4,5,0.24,0.08,0.1
16-05-2025,DEL,5,FO,Airbus,0,0,May,5,Friday,4,16-20,43,5,3,5,0.1163,0.0698,0.1163
16-05-2025,DEL,6,CP,Airbus,0,0,May,5,Friday,4,20-24,23,12,5,2,0.5217,0.2174,0.087
16-05-2025,DEL,6,FO,Airbus,0,0,May,5,Friday,4,20-24,22,10,5,1,0.4545,0.2273,0.0455
17-05-2025,DEL,1,CP,Airbus,0,0,May,5,Saturday,5,0-4,6,2,0,1,0.3333,0,0.1667
17-05-2025,DEL,1,FO,Airbus,0,0,May,5,Saturday,5,0-4,8,2,0,1,0.25,0,0.125
17-05-2025,DEL,2,CP,Airbus,0,0,May,5,Saturday,5,04-Aug,54,16,4,6,0.2963,0.0741,0.1111
17-05-2025,DEL,2,FO,Airbus,0,0,May,5,Saturday,5,04-Aug,49,13,3,4,0.2653,0.0612,0.0816
17-05-2025,DEL,3,CP,Airbus,0,0,May,5,Saturday,5,08-Dec,44,8,4,2,0.1818,0.0909,0.0455
17-05-2025,DEL,3,FO,Airbus,0,0,May,5,Saturday,5,08-Dec,42,5,4,5,0.119,0.0952,0.119
17-05-2025,DEL,4,CP,Airbus,0,0,May,5,Saturday,5,Dec-16,44,10,3,9,0.2273,0.0682,0.2045
17-05-2025,DEL,4,FO,Airbus,0,0,May,5,Saturday,5,Dec-16,43,7,4,11,0.1628,0.093,0.2558
17-05-2025,DEL,5,CP,Airbus,0,0,May,5,Saturday,5,16-20,49,11,6,6,0.2245,0.1224,0.1224
17-05-2025,DEL,5,FO,Airbus,0,0,May,5,Saturday,5,16-20,43,8,5,8,0.186,0.1163,0.186
17-05-2025,DEL,6,CP,Airbus,0,0,May,5,Saturday,5,20-24,20,10,5,3,0.5,0.25,0.15
17-05-2025,DEL,6,FO,Airbus,0,0,May,5,Saturday,5,20-24,18,11,5,4,0.6111,0.2778,0.2222
18-05-2025,DEL,1,CP,Airbus,0,0,May,5,Sunday,6,0-4,6,1,0,1,0.1667,0,0.1667
18-05-2025,DEL,1,FO,Airbus,0,0,May,5,Sunday,6,0-4,5,1,0,0,0.2,0,0
18-05-2025,DEL,2,CP,Airbus,0,0,May,5,Sunday,6,04-Aug,53,17,5,9,0.3208,0.0943,0.1698
18-05-2025,DEL,2,FO,Airbus,0,0,May,5,Sunday,6,04-Aug,53,15,5,10,0.283,0.0943,0.1887
18-05-2025,DEL,3,CP,Airbus,0,0,May,5,Sunday,6,08-Dec,44,9,4,3,0.2045,0.0909,0.0682
18-05-2025,DEL,3,FO,Airbus,0,0,May,5,Sunday,6,08-Dec,40,5,4,3,0.125,0.1,0.075
18-05-2025,DEL,4,CP,Airbus,0,0,May,5,Sunday,6,Dec-16,48,10,3,9,0.2083,0.0625,0.1875
18-05-2025,DEL,4,FO,Airbus,0,0,May,5,Sunday,6,Dec-16,36,7,2,11,0.1944,0.0556,0.3056
18-05-2025,DEL,5,CP,Airbus,0,0,May,5,Sunday,6,16-20,49,8,4,1,0.1633,0.0816,0.0204
18-05-2025,DEL,5,FO,Airbus,0,0,May,5,Sunday,6,16-20,44,7,4,9,0.1591,0.0909,0.2045
18-05-2025,DEL,6,CP,Airbus,0,0,May,5,Sunday,6,20-24,20,12,6,3,0.6,0.3,0.15
18-05-2025,DEL,6,FO,Airbus,0,0,May,5,Sunday,6,20-24,18,8,6,4,0.4444,0.3333,0.2222
19-05-2025,DEL,1,CP,Airbus,0,0,May,5,Monday,0,0-4,4,1,0,0,0.25,0,0
19-05-2025,DEL,1,FO,Airbus,0,0,May,5,Monday,0,0-4,5,1,0,0,0.2,0,0
19-05-2025,DEL,2,CP,Airbus,0,0,May,5,Monday,0,04-Aug,54,19,5,6,0.3519,0.0926,0.1111
19-05-2025,DEL,2,FO,Airbus,0,0,May,5,Monday,0,04-Aug,50,14,4,8,0.28,0.08,0.16
19-05-2025,DEL,3,CP,Airbus,0,0,May,5,Monday,0,08-Dec,44,11,5,9,0.25,0.1136,0.2045
19-05-2025,DEL,3,FO,Airbus,0,0,May,5,Monday,0,08-Dec,40,6,4,14,0.15,0.1,0.35
19-05-2025,DEL,4,CP,Airbus,0,0,May,5,Monday,0,Dec-16,45,11,3,5,0.2444,0.0667,0.1111
19-05-2025,DEL,4,FO,Airbus,0,0,May,5,Monday,0,Dec-16,40,9,3,10,0.225,0.075,0.25
19-05-2025,DEL,5,CP,Airbus,0,0,May,5,Monday,0,16-20,51,7,4,8,0.1373,0.0784,0.1569
19-05-2025,DEL,5,FO,Airbus,0,0,May,5,Monday,0,16-20,44,6,4,9,0.1364,0.0909,0.2045
19-05-2025,DEL,6,CP,Airbus,0,0,May,5,Monday,0,20-24,19,9,5,3,0.4737,0.2632,0.1579
19-05-2025,DEL,6,FO,Airbus,0,0,May,5,Monday,0,20-24,17,7,5,6,0.4118,0.2941,0.3529
20-05-2025,DEL,1,CP,Airbus,0,0,May,5,Tuesday,1,0-4,7,1,0,2,0.1429,0,0.2857
20-05-2025,DEL,1,FO,Airbus,0,0,May,5,Tuesday,1,0-4,7,1,0,1,0.1429,0,0.1429
20-05-2025,DEL,2,CP,Airbus,0,0,May,5,Tuesday,1,04-Aug,55,16,5,7,0.2909,0.0909,0.1273
20-05-2025,DEL,2,FO,Airbus,0,0,May,5,Tuesday,1,04-Aug,54,11,5,10,0.2037,0.0926,0.1852
20-05-2025,DEL,3,CP,Airbus,0,0,May,5,Tuesday,1,08-Dec,45,10,4,6,0.2222,0.0889,0.1333
20-05-2025,DEL,3,FO,Airbus,0,0,May,5,Tuesday,1,08-Dec,43,7,4,4,0.1628,0.093,0.093
20-05-2025,DEL,4,CP,Airbus,0,0,May,5,Tuesday,1,Dec-16,40,8,2,3,0.2,0.05,0.075
20-05-2025,DEL,4,FO,Airbus,0,0,May,5,Tuesday,1,Dec-16,40,4,2,7,0.1,0.05,0.175
20-05-2025,DEL,5,CP,Airbus,0,0,May,5,Tuesday,1,16-20,52,12,5,6,0.2308,0.0962,0.1154
20-05-2025,DEL,5,FO,Airbus,0,0,May,5,Tuesday,1,16-20,50,6,5,8,0.12,0.1,0.16
20-05-2025,DEL,6,CP,Airbus,0,0,May,5,Tuesday,1,20-24,24,11,5,1,0.4583,0.2083,0.0417
20-05-2025,DEL,6,FO,Airbus,0,0,May,5,Tuesday,1,20-24,16,6,5,3,0.375,0.3125,0.1875
21-05-2025,DEL,1,CP,Airbus,0,0,May,5,Wednesday,2,0-4,7,1,0,2,0.1429,0,0.2857
21-05-2025,DEL,1,FO,Airbus,0,0,May,5,Wednesday,2,0-4,5,1,0,1,0.2,0,0.2
21-05-2025,DEL,2,CP,Airbus,0,0,May,5,Wednesday,2,04-Aug,54,14,4,8,0.2593,0.0741,0.1481
21-05-2025,DEL,2,FO,Airbus,0,0,May,5,Wednesday,2,04-Aug,49,11,4,7,0.2245,0.0816,0.1429
21-05-2025,DEL,3,CP,Airbus,0,0,May,5,Wednesday,2,08-Dec,44,10,4,6,0.2273,0.0909,0.1364
21-05-2025,DEL,3,FO,Airbus,0,0,May,5,Wednesday,2,08-Dec,38,3,4,7,0.0789,0.1053,0.1842
21-05-2025,DEL,4,CP,Airbus,0,0,May,5,Wednesday,2,Dec-16,38,10,3,8,0.2632,0.0789,0.2105
21-05-2025,DEL,4,FO,Airbus,0,0,May,5,Wednesday,2,Dec-16,48,10,4,11,0.2083,0.0833,0.2292
21-05-2025,DEL,5,CP,Airbus,0,0,May,5,Wednesday,2,16-20,53,12,4,5,0.2264,0.0755,0.0943
21-05-2025,DEL,5,FO,Airbus,0,0,May,5,Wednesday,2,16-20,37,12,4,5,0.3243,0.1081,0.1351
21-05-2025,DEL,6,CP,Airbus,0,0,May,5,Wednesday,2,20-24,23,10,6,1,0.4348,0.2609,0.0435
21-05-2025,DEL,6,FO,Airbus,0,0,May,5,Wednesday,2,20-24,18,6,5,3,0.3333,0.2778,0.1667
22-05-2025,DEL,1,CP,Airbus,0,0,May,5,Thursday,3,0-4,6,1,0,0,0.1667,0,0
22-05-2025,DEL,1,FO,Airbus,0,0,May,5,Thursday,3,0-4,5,1,0,0,0.2,0,0
22-05-2025,DEL,2,CP,Airbus,0,0,May,5,Thursday,3,04-Aug,50,16,4,8,0.32,0.08,0.16
22-05-2025,DEL,2,FO,Airbus,0,0,May,5,Thursday,3,04-Aug,43,10,4,7,0.2326,0.093,0.1628
22-05-2025,DEL,3,CP,Airbus,0,0,May,5,Thursday,3,08-Dec,48,10,4,3,0.2083,0.0833,0.0625
22-05-2025,DEL,3,FO,Airbus,0,0,May,5,Thursday,3,08-Dec,37,3,4,7,0.0811,0.1081,0.1892
22-05-2025,DEL,4,CP,Airbus,0,0,May,5,Thursday,3,Dec-16,38,5,2,8,0.1316,0.0526,0.2105
22-05-2025,DEL,4,FO,Airbus,0,0,May,5,Thursday,3,Dec-16,46,1,2,14,0.0217,0.0435,0.3043
22-05-2025,DEL,5,CP,Airbus,0,0,May,5,Thursday,3,16-20,58,12,4,7,0.2069,0.069,0.1207
22-05-2025,DEL,5,FO,Airbus,0,0,May,5,Thursday,3,16-20,38,9,4,10,0.2368,0.1053,0.2632
22-05-2025,DEL,6,CP,Airbus,0,0,May,5,Thursday,3,20-24,26,14,8,6,0.5385,0.3077,0.2308
22-05-2025,DEL,6,FO,Airbus,0,0,May,5,Thursday,3,20-24,20,8,9,5,0.4,0.45,0.25
