Date,Station,Duty Window Number,Rank,Fleet,Season,IrOps,Month,Month Number,Weekday,Weekday Number,Duty Window,Pairing Start Count,Multi-Day Pairing Count,INT Pairing Count,Standby Activation Count,Multi-Day Pairing Ratio,INT Pairing Ratio,Activation Rate
08-04-2025,DEL,2,CP,Airbus,0,0,April,4,Tuesday,1,04-Aug,53,12,5,5,0.2264,0.0943,0.0943
08-04-2025,DEL,2,FO,Airbus,0,0,April,4,Tuesday,1,04-Aug,48,15,4,3,0.3125,0.0833,0.0625
08-04-2025,DEL,3,CP,Airbus,0,0,April,4,Tuesday,1,08-Dec,43,12,6,6,0.2791,0.1395,0.1395
08-04-2025,DEL,3,FO,Airbus,0,0,April,4,Tuesday,1,08-Dec,39,9,4,1,0.2308,0.1026,0.0256
08-04-2025,DEL,4,CP,Airbus,0,0,April,4,Tuesday,1,Dec-16,35,10,2,2,0.2857,0.0571,0.0571
08-04-2025,DEL,4,FO,Airbus,0,0,April,4,Tuesday,1,Dec-16,32,7,2,6,0.2188,0.0625,0.1875
08-04-2025,DEL,5,CP,Airbus,0,0,April,4,Tuesday,1,16-20,50,8,3,3,0.16,0.06,0.06
08-04-2025,DEL,5,FO,Airbus,0,0,April,4,Tuesday,1,16-20,41,7,3,5,0.1707,0.0732,0.122
08-04-2025,DEL,6,CP,Airbus,0,0,April,4,Tuesday,1,20-24,27,13,9,1,0.4815,0.3333,0.037
08-04-2025,DEL,6,FO,Airbus,0,0,April,4,Tuesday,1,20-24,20,8,9,5,0.4,0.45,0.25
09-04-2025,DEL,1,CP,Airbus,0,0,April,4,Wednesday,2,0-4,6,2,0,0,0.3333,0,0
09-04-2025,DEL,1,FO,Airbus,0,0,April,4,Wednesday,2,0-4,5,1,0,2,0.2,0,0.4
09-04-2025,DEL,2,CP,Airbus,0,0,April,4,Wednesday,2,04-Aug,54,13,5,5,0.2407,0.0926,0.0926
09-04-2025,DEL,2,FO,Airbus,0,0,April,4,Wednesday,2,04-Aug,49,11,2,7,0.2245,0.0408,0.1429
09-04-2025,DEL,3,CP,Airbus,0,0,April,4,Wednesday,2,08-Dec,39,9,4,5,0.2308,0.1026,0.1282
09-04-2025,DEL,3,FO,Airbus,0,0,April,4,Wednesday,2,08-Dec,37,6,4,5,0.1622,0.1081,0.1351
09-04-2025,DEL,4,CP,Airbus,0,0,April,4,Wednesday,2,Dec-16,40,13,4,8,0.325,0.1,0.2
09-04-2025,DEL,4,FO,Airbus,0,0,April,4,Wednesday,2,Dec-16,38,6,4,7,0.1579,0.1053,0.1842
09-04-2025,DEL,5,CP,Airbus,0,0,April,4,Wednesday,2,16-20,58,6,1,6,0.1034,0.0172,0.1034
